No,KODE SKPD,SKPD,KREDIT MURNI,SP2D GAJI,SP2D LS,RINCIAN GU/TU,KOREKSI,REALISASI,PROSENTASE,SISA KREDIT,% SISA,Tanggal Impor Data
1,101000000010001,SMK Negeri 1 Surabaya (BLUD),1724320775,0.0,0.0,124607361.0,0.0,124607361.0,7.2264,1599713414.0,92.7735,24/02/2026
2,101000000010002,SMK Negeri 5 Surabaya (BLUD),311500000,0.0,0.0,12481400.0,0.0,12481400.0,4.0068,299018600.0,95.9931,24/02/2026
3,101000000010003,SMK Negeri 6 Surabaya (BLUD),392830700,0.0,0.0,0.0,0.0,0.0,0.0,392830700.0,100,24/02/2026
4,101000000010004,SMK Negeri 1 Buduran Sidoarjo (BLUD),1450260240,0.0,0.0,104982173.0,0.0,104982173.0,7.2388,1345278067.0,92.7611,24/02/2026
5,101000000010005,SMK Negeri 3 Buduran Sidoarjo (BLUD),472530706,0.0,0.0,0.0,0.0,0.0,0.0,472530706.0,100,24/02/2026
6,101000000010006,SMK Negeri 2 Malang (BLUD),764000000,0.0,0.0,43319110.0,0.0,43319110.0,5.67,720680890.0,94.3299,24/02/2026
7,101000000010007,SMK Negeri 4 Malang (BLUD),1245800000,0.0,0.0,100950834.0,0.0,100950834.0,8.1032,1144849166.0,91.8967,24/02/2026
8,101000000010008,SMK Negeri 11 Malang (BLUD),337400000,0.0,0.0,29052300.0,0.0,29052300.0,8.6106,308347700.0,91.3893,24/02/2026
9,101000000010009,SMK Negeri 1 Singosari Malang (BLUD),212000000,0.0,0.0,14320000.0,0.0,14320000.0,6.7547,197680000.0,93.2452,24/02/2026
10,101000000010010,SMK Negeri 1 Panji Situbondo (BLUD),1209500000,0.0,0.0,61500000.0,0.0,61500000.0,5.0847,1148000000.0,94.9152,24/02/2026
11,101000000010011,SMK Negeri 1 Kalipuro Banyuwangi (BLUD),197900000,0.0,0.0,0.0,0.0,0.0,0.0,197900000.0,100,24/02/2026
12,101000000010012,SMK Negeri 2 Bondowoso (BLUD),322525500,0.0,0.0,8417000.0,0.0,8417000.0,2.6097,314108500.0,97.3902,24/02/2026
13,101000000010013,SMK Negeri 5 Jember (BLUD),638800000,0.0,0.0,48448400.0,0.0,48448400.0,7.5842,590351600.0,92.4157,24/02/2026
14,101000000010014,SMK Negeri 3 Madiun (BLUD),299441200,0.0,0.0,43684000.0,0.0,43684000.0,14.5885,255757200.0,85.4114,24/02/2026
15,101000000010015,SMK Negeri 1 Pacitan (BLUD),90000000,0.0,0.0,8100800.0,0.0,8100800.0,9.0008,81899200.0,90.9991,24/02/2026
16,101000000010016,SMK Negeri 2 Kota Pasuruan (BLUD),139790000,0.0,0.0,11406149.0,0.0,11406149.0,8.1594,128383851.0,91.8405,24/02/2026
